CSC101,CSC102,CSC103,CSC104,Year 1,Year 2,Year 3,Year 4
60,72,74,68.67,3,3.6,3.7,3.43
61,58,56,58.33,3.05,2.9,2.8,2.92
39,64,57,53.33,1.95,3.2,2.85,2.67
58,63,73,64.67,2.9,3.15,3.65,3.23
63,55,63,60.33,3.15,2.75,3.15,3.02
41,51,48,46.67,2.05,2.55,2.4,2.33
61,57,56,58.00,3.05,2.85,2.8,2.90
49,49,41,46.33,2.45,2.45,2.05,2.32
44,41,38,41.00,2.2,2.05,1.9,2.05
30,26,22,26.00,1.5,1.3,1.1,1.30
80,78,81,79.67,4,3.9,4.05,3.98
61,74,72,69.00,3.05,3.7,3.6,3.45
62,68,68,66.00,3.1,3.4,3.4,3.30
47,49,50,48.67,2.35,2.45,2.5,2.43
49,45,45,46.33,2.45,2.25,2.25,2.32
50,47,54,50.33,2.5,2.35,2.7,2.52
72,64,63,66.33,3.6,3.2,3.15,3.32
42,39,34,38.33,2.1,1.95,1.7,1.92
73,80,82,78.33,3.65,4,4.1,3.92
76,83,88,82.33,3.8,4.15,4.4,4.12
71,71,74,72.00,3.55,3.55,3.7,3.60
58,70,67,65.00,2.9,3.5,3.35,3.25
73,86,82,80.33,3.65,4.3,4.1,4.02
65,72,74,70.33,3.25,3.6,3.7,3.52
27,34,36,32.33,1.35,1.7,1.8,1.62
71,79,71,73.67,3.55,3.95,3.55,3.68
43,45,50,46.00,2.15,2.25,2.5,2.30
79,86,92,85.67,3.95,4.3,4.6,4.28
78,81,82,80.33,3.9,4.05,4.1,4.02
65,66,62,64.33,3.25,3.3,3.1,3.22
63,72,70,68.33,3.15,3.6,3.5,3.42
58,67,62,62.33,2.9,3.35,3.1,3.12
65,67,62,64.67,3.25,3.35,3.1,3.23
79,67,67,71.00,3.95,3.35,3.35,3.55
68,74,74,72.00,3.4,3.7,3.7,3.60
85,91,89,88.33,4.25,4.55,4.45,4.42
60,44,47,50.33,3,2.2,2.35,2.52
98,86,90,91.33,4.9,4.3,4.5,4.57
58,67,72,65.67,2.9,3.35,3.6,3.28
87,100,100,95.67,4.35,5,5,4.78
66,63,64,64.33,3.3,3.15,3.2,3.22
52,76,70,66.00,2.6,3.8,3.5,3.30
70,64,72,68.67,3.5,3.2,3.6,3.43
77,89,98,88.00,3.85,4.45,4.9,4.40
62,55,49,55.33,3.1,2.75,2.45,2.77
54,53,47,51.33,2.7,2.65,2.35,2.57
51,58,54,54.33,2.55,2.9,2.7,2.72
99,100,100,99.67,4.95,5,5,4.98
84,77,74,78.33,4.2,3.85,3.7,3.92
75,85,82,80.67,3.75,4.25,4.1,4.03
78,82,79,79.67,3.9,4.1,3.95,3.98
51,63,61,58.33,2.55,3.15,3.05,2.92
55,69,65,63.00,2.75,3.45,3.25,3.15
79,92,89,86.67,3.95,4.6,4.45,4.33
91,89,92,90.67,4.55,4.45,4.6,4.53
88,93,93,91.33,4.4,4.65,4.65,4.57
63,57,56,58.67,3.15,2.85,2.8,2.93
83,80,73,78.67,4.15,4,3.65,3.93
87,95,86,89.33,4.35,4.75,4.3,4.47
72,68,67,69.00,3.6,3.4,3.35,3.45
65,77,74,72.00,3.25,3.85,3.7,3.60
82,82,74,79.33,4.1,4.1,3.7,3.97
51,49,51,50.33,2.55,2.45,2.55,2.52
89,84,82,85.00,4.45,4.2,4.1,4.25
53,37,40,43.33,2.65,1.85,2,2.17
87,74,70,77.00,4.35,3.7,3.5,3.85
75,81,84,80.00,3.75,4.05,4.2,4.00
74,79,75,76.00,3.7,3.95,3.75,3.80
58,55,48,53.67,2.9,2.75,2.4,2.68
51,54,41,48.67,2.55,2.7,2.05,2.43
70,55,56,60.33,3.5,2.75,2.8,3.02
59,66,67,64.00,2.95,3.3,3.35,3.20
71,61,69,67.00,3.55,3.05,3.45,3.35
76,72,71,73.00,3.8,3.6,3.55,3.65
59,62,64,61.67,2.95,3.1,3.2,3.08
42,55,54,50.33,2.1,2.75,2.7,2.52
57,43,47,49.00,2.85,2.15,2.35,2.45
88,73,78,79.67,4.4,3.65,3.9,3.98
22,39,33,31.33,1.1,1.95,1.65,1.57
88,84,75,82.33,4.4,4.2,3.75,4.12
73,68,66,69.00,3.65,3.4,3.3,3.45
68,75,81,74.67,3.4,3.75,4.05,3.73
100,100,93,97.67,5,5,4.65,4.88
62,67,69,66.00,3.1,3.35,3.45,3.30
77,67,68,70.67,3.85,3.35,3.4,3.53
59,70,66,65.00,2.95,3.5,3.3,3.25
54,49,47,50.00,2.7,2.45,2.35,2.50
62,67,61,63.33,3.1,3.35,3.05,3.17
70,89,88,82.33,3.5,4.45,4.4,4.12
66,74,78,72.67,3.3,3.7,3.9,3.63
60,60,60,60.00,3,3,3,3.00
61,86,87,78.00,3.05,4.3,4.35,3.90
66,62,64,64.00,3.3,3.1,3.2,3.20
82,78,74,78.00,4.1,3.9,3.7,3.90
75,88,85,82.67,3.75,4.4,4.25,4.13
49,53,52,51.33,2.45,2.65,2.6,2.57
52,53,49,51.33,2.6,2.65,2.45,2.57
81,92,91,88.00,4.05,4.6,4.55,4.40
96,100,100,98.67,4.8,5,5,4.93
53,51,51,51.67,2.65,2.55,2.55,2.58
58,76,78,70.67,2.9,3.8,3.9,3.53
68,83,78,76.33,3.4,4.15,3.9,3.82
67,75,70,70.67,3.35,3.75,3.5,3.53
72,73,74,73.00,3.6,3.65,3.7,3.65
94,88,78,86.67,4.7,4.4,3.9,4.33
79,86,81,82.00,3.95,4.3,4.05,4.10
63,67,70,66.67,3.15,3.35,3.5,3.33
43,51,54,49.33,2.15,2.55,2.7,2.47
81,91,87,86.33,4.05,4.55,4.35,4.32
46,54,58,52.67,2.3,2.7,2.9,2.63
71,77,77,75.00,3.55,3.85,3.85,3.75
52,70,62,61.33,2.6,3.5,3.1,3.07
97,100,100,99.00,4.85,5,5,4.95
62,68,75,68.33,3.1,3.4,3.75,3.42
46,64,66,58.67,2.3,3.2,3.3,2.93
50,50,47,49.00,2.5,2.5,2.35,2.45
65,69,70,68.00,3.25,3.45,3.5,3.40
45,52,49,48.67,2.25,2.6,2.45,2.43
65,67,65,65.67,3.25,3.35,3.25,3.28
80,76,65,73.67,4,3.8,3.25,3.68
62,66,68,65.33,3.1,3.3,3.4,3.27
48,52,45,48.33,2.4,2.6,2.25,2.42
77,88,87,84.00,3.85,4.4,4.35,4.20
66,65,69,66.67,3.3,3.25,3.45,3.33
76,83,79,79.33,3.8,4.15,3.95,3.97
62,64,66,64.00,3.1,3.2,3.3,3.20
77,62,62,67.00,3.85,3.1,3.1,3.35
69,84,85,79.33,3.45,4.2,4.25,3.97
61,55,52,56.00,3.05,2.75,2.6,2.80
59,69,65,64.33,2.95,3.45,3.25,3.22
55,56,51,54.00,2.75,2.8,2.55,2.70
45,53,55,51.00,2.25,2.65,2.75,2.55
78,79,76,77.67,3.9,3.95,3.8,3.88
67,84,86,79.00,3.35,4.2,4.3,3.95
65,81,77,74.33,3.25,4.05,3.85,3.72
69,77,69,71.67,3.45,3.85,3.45,3.58
57,69,68,64.67,2.85,3.45,3.4,3.23
59,41,42,47.33,2.95,2.05,2.1,2.37
74,71,78,74.33,3.7,3.55,3.9,3.72
82,62,62,68.67,4.1,3.1,3.1,3.43
81,80,76,79.00,4.05,4,3.8,3.95
74,81,76,77.00,3.7,4.05,3.8,3.85
58,61,66,61.67,2.9,3.05,3.3,3.08
80,79,79,79.33,4,3.95,3.95,3.97
35,28,27,30.00,1.75,1.4,1.35,1.50
42,62,60,54.67,2.1,3.1,3,2.73
60,51,56,55.67,3,2.55,2.8,2.78
87,91,81,86.33,4.35,4.55,4.05,4.32
84,83,75,80.67,4.2,4.15,3.75,4.03
83,86,88,85.67,4.15,4.3,4.4,4.28
34,42,39,38.33,1.7,2.1,1.95,1.92
66,77,70,71.00,3.3,3.85,3.5,3.55
61,56,56,57.67,3.05,2.8,2.8,2.88
56,68,74,66.00,2.8,3.4,3.7,3.30
87,85,73,81.67,4.35,4.25,3.65,4.08
55,65,62,60.67,2.75,3.25,3.1,3.03
86,80,75,80.33,4.3,4,3.75,4.02
52,66,73,63.67,2.6,3.3,3.65,3.18
45,56,54,51.67,2.25,2.8,2.7,2.58
72,72,71,71.67,3.6,3.6,3.55,3.58
57,50,54,53.67,2.85,2.5,2.7,2.68
68,72,64,68.00,3.4,3.6,3.2,3.40
88,95,94,92.33,4.4,4.75,4.7,4.62
76,64,66,68.67,3.8,3.2,3.3,3.43
46,43,42,43.67,2.3,2.15,2.1,2.18
67,86,83,78.67,3.35,4.3,4.15,3.93
92,87,78,85.67,4.6,4.35,3.9,4.28
83,82,84,83.00,4.15,4.1,4.2,4.15
80,75,77,77.33,4,3.75,3.85,3.87
63,66,67,65.33,3.15,3.3,3.35,3.27
64,60,74,66.00,3.2,3,3.7,3.30
54,52,51,52.33,2.7,2.6,2.55,2.62
84,80,80,81.33,4.2,4,4,4.07
73,68,66,69.00,3.65,3.4,3.3,3.45
80,83,83,82.00,4,4.15,4.15,4.10
56,52,55,54.33,2.8,2.6,2.75,2.72
59,51,43,51.00,2.95,2.55,2.15,2.55
75,74,69,72.67,3.75,3.7,3.45,3.63
85,76,71,77.33,4.25,3.8,3.55,3.87
89,76,74,79.67,4.45,3.8,3.7,3.98
58,70,68,65.33,2.9,3.5,3.4,3.27
65,64,62,63.67,3.25,3.2,3.1,3.18
68,60,53,60.33,3.4,3,2.65,3.02
47,49,49,48.33,2.35,2.45,2.45,2.42
71,83,83,79.00,3.55,4.15,4.15,3.95
60,70,70,66.67,3,3.5,3.5,3.33
80,80,72,77.33,4,4,3.6,3.87
54,52,52,52.67,2.7,2.6,2.6,2.63
62,73,70,68.33,3.1,3.65,3.5,3.42
64,73,68,68.33,3.2,3.65,3.4,3.42
78,77,77,77.33,3.9,3.85,3.85,3.87
70,75,78,74.33,3.5,3.75,3.9,3.72
65,81,81,75.67,3.25,4.05,4.05,3.78
64,79,77,73.33,3.2,3.95,3.85,3.67
79,79,78,78.67,3.95,3.95,3.9,3.93
44,50,51,48.33,2.2,2.5,2.55,2.42
99,93,90,94.00,4.95,4.65,4.5,4.70
76,73,68,72.33,3.8,3.65,3.4,3.62
59,42,41,47.33,2.95,2.1,2.05,2.37
63,75,81,73.00,3.15,3.75,4.05,3.65
69,72,77,72.67,3.45,3.6,3.85,3.63
88,92,95,91.67,4.4,4.6,4.75,4.58
71,76,70,72.33,3.55,3.8,3.5,3.62
69,63,61,64.33,3.45,3.15,3.05,3.22
58,49,42,49.67,2.9,2.45,2.1,2.48
47,53,58,52.67,2.35,2.65,2.9,2.63
65,70,71,68.67,3.25,3.5,3.55,3.43
88,85,76,83.00,4.4,4.25,3.8,4.15
83,78,73,78.00,4.15,3.9,3.65,3.90
85,92,93,90.00,4.25,4.6,4.65,4.50
59,63,75,65.67,2.95,3.15,3.75,3.28
65,86,80,77.00,3.25,4.3,4,3.85
73,56,57,62.00,3.65,2.8,2.85,3.10
53,52,42,49.00,2.65,2.6,2.1,2.45
45,48,46,46.33,2.25,2.4,2.3,2.32
73,79,84,78.67,3.65,3.95,4.2,3.93
70,78,78,75.33,3.5,3.9,3.9,3.77
37,46,46,43.00,1.85,2.3,2.3,2.15
81,82,82,81.67,4.05,4.1,4.1,4.08
97,82,88,89.00,4.85,4.1,4.4,4.45
67,89,82,79.33,3.35,4.45,4.1,3.97
88,75,76,79.67,4.4,3.75,3.8,3.98
77,76,77,76.67,3.85,3.8,3.85,3.83
76,70,68,71.33,3.8,3.5,3.4,3.57
86,73,70,76.33,4.3,3.65,3.5,3.82
63,60,57,60.00,3.15,3,2.85,3.00
65,73,75,71.00,3.25,3.65,3.75,3.55
78,77,80,78.33,3.9,3.85,4,3.92
67,62,60,63.00,3.35,3.1,3,3.15
46,41,43,43.33,2.3,2.05,2.15,2.17
71,74,68,71.00,3.55,3.7,3.4,3.55
40,46,50,45.33,2,2.3,2.5,2.27
90,87,75,84.00,4.5,4.35,3.75,4.20
81,78,81,80.00,4.05,3.9,4.05,4.00
56,54,52,54.00,2.8,2.7,2.6,2.70
67,84,81,77.33,3.35,4.2,4.05,3.87
80,76,64,73.33,4,3.8,3.2,3.67
74,75,83,77.33,3.7,3.75,4.15,3.87
69,67,69,68.33,3.45,3.35,3.45,3.42
99,87,81,89.00,4.95,4.35,4.05,4.45
51,52,44,49.00,2.55,2.6,2.2,2.45
53,71,67,63.67,2.65,3.55,3.35,3.18
49,57,52,52.67,2.45,2.85,2.6,2.63
73,76,80,76.33,3.65,3.8,4,3.82
66,60,57,61.00,3.3,3,2.85,3.05
67,61,68,65.33,3.35,3.05,3.4,3.27
68,67,69,68.00,3.4,3.35,3.45,3.40
59,64,75,66.00,2.95,3.2,3.75,3.30
71,66,65,67.33,3.55,3.3,3.25,3.37
77,82,91,83.33,3.85,4.1,4.55,4.17
83,72,78,77.67,4.15,3.6,3.9,3.88
63,71,69,67.67,3.15,3.55,3.45,3.38
56,65,63,61.33,2.8,3.25,3.15,3.07
67,79,84,76.67,3.35,3.95,4.2,3.83
75,86,79,80.00,3.75,4.3,3.95,4.00
71,81,80,77.33,3.55,4.05,4,3.87
43,53,53,49.67,2.15,2.65,2.65,2.48
41,46,43,43.33,2.05,2.3,2.15,2.17
82,90,94,88.67,4.1,4.5,4.7,4.43
61,61,62,61.33,3.05,3.05,3.1,3.07
28,23,19,23.33,1.4,1.15,0.95,1.17
82,75,77,78.00,4.1,3.75,3.85,3.90
41,55,51,49.00,2.05,2.75,2.55,2.45
71,60,61,64.00,3.55,3,3.05,3.20
47,37,35,39.67,2.35,1.85,1.75,1.98
62,56,53,57.00,3.1,2.8,2.65,2.85
90,78,81,83.00,4.5,3.9,4.05,4.15
83,93,95,90.33,4.15,4.65,4.75,4.52
61,68,66,65.00,3.05,3.4,3.3,3.25
76,70,69,71.67,3.8,3.5,3.45,3.58
49,51,43,47.67,2.45,2.55,2.15,2.38
24,38,27,29.67,1.2,1.9,1.35,1.48
35,55,60,50.00,1.75,2.75,3,2.50
58,61,52,57.00,2.9,3.05,2.6,2.85
61,73,63,65.67,3.05,3.65,3.15,3.28
69,76,74,73.00,3.45,3.8,3.7,3.65
67,72,67,68.67,3.35,3.6,3.35,3.43
79,73,67,73.00,3.95,3.65,3.35,3.65
72,80,75,75.67,3.6,4,3.75,3.78
62,61,57,60.00,3.1,3.05,2.85,3.00
77,94,95,88.67,3.85,4.7,4.75,4.43
75,74,66,71.67,3.75,3.7,3.3,3.58
87,74,76,79.00,4.35,3.7,3.8,3.95
52,65,69,62.00,2.6,3.25,3.45,3.10
66,57,52,58.33,3.3,2.85,2.6,2.92
63,78,80,73.67,3.15,3.9,4,3.68
46,58,57,53.67,2.3,2.9,2.85,2.68
59,71,70,66.67,2.95,3.55,3.5,3.33
61,72,70,67.67,3.05,3.6,3.5,3.38
63,61,61,61.67,3.15,3.05,3.05,3.08
42,66,69,59.00,2.1,3.3,3.45,2.95
59,62,61,60.67,2.95,3.1,3.05,3.03
80,90,89,86.33,4,4.5,4.45,4.32
58,62,59,59.67,2.9,3.1,2.95,2.98
85,84,78,82.33,4.25,4.2,3.9,4.12
52,58,58,56.00,2.6,2.9,2.9,2.80
27,34,32,31.00,1.35,1.7,1.6,1.55
59,60,58,59.00,2.95,3,2.9,2.95
49,58,60,55.67,2.45,2.9,3,2.78
69,58,53,60.00,3.45,2.9,2.65,3.00
61,66,61,62.67,3.05,3.3,3.05,3.13
44,64,58,55.33,2.2,3.2,2.9,2.77
73,84,85,80.67,3.65,4.2,4.25,4.03
84,77,71,77.33,4.2,3.85,3.55,3.87
45,73,70,62.67,2.25,3.65,3.5,3.13
74,74,72,73.33,3.7,3.7,3.6,3.67
82,97,96,91.67,4.1,4.85,4.8,4.58
59,70,73,67.33,2.95,3.5,3.65,3.37
46,43,41,43.33,2.3,2.15,2.05,2.17
80,90,82,84.00,4,4.5,4.1,4.20
85,95,100,93.33,4.25,4.75,5,4.67
71,83,77,77.00,3.55,4.15,3.85,3.85
66,64,62,64.00,3.3,3.2,3.1,3.20
80,86,83,83.00,4,4.3,4.15,4.15
87,100,95,94.00,4.35,5,4.75,4.70
79,81,71,77.00,3.95,4.05,3.55,3.85
38,49,45,44.00,1.9,2.45,2.25,2.20
38,43,43,41.33,1.9,2.15,2.15,2.07
67,76,75,72.67,3.35,3.8,3.75,3.63
64,73,70,69.00,3.2,3.65,3.5,3.45
57,78,67,67.33,2.85,3.9,3.35,3.37
62,64,64,63.33,3.1,3.2,3.2,3.17
73,70,75,72.67,3.65,3.5,3.75,3.63
73,67,59,66.33,3.65,3.35,2.95,3.32
77,68,77,74.00,3.85,3.4,3.85,3.70
76,67,67,70.00,3.8,3.35,3.35,3.50
57,54,56,55.67,2.85,2.7,2.8,2.78
65,74,77,72.00,3.25,3.7,3.85,3.60
48,45,41,44.67,2.4,2.25,2.05,2.23
50,67,63,60.00,2.5,3.35,3.15,3.00
85,89,95,89.67,4.25,4.45,4.75,4.48
74,63,57,64.67,3.7,3.15,2.85,3.23
60,59,54,57.67,3,2.95,2.7,2.88
59,54,67,60.00,2.95,2.7,3.35,3.00
53,43,43,46.33,2.65,2.15,2.15,2.32
49,65,55,56.33,2.45,3.25,2.75,2.82
88,99,100,95.67,4.4,4.95,5,4.78
54,59,62,58.33,2.7,2.95,3.1,2.92
63,73,68,68.00,3.15,3.65,3.4,3.40
65,65,63,64.33,3.25,3.25,3.15,3.22
82,80,77,79.67,4.1,4,3.85,3.98
52,57,56,55.00,2.6,2.85,2.8,2.75
87,84,85,85.33,4.35,4.2,4.25,4.27
70,71,74,71.67,3.5,3.55,3.7,3.58
84,83,78,81.67,4.2,4.15,3.9,4.08
71,66,60,65.67,3.55,3.3,3,3.28
63,67,67,65.67,3.15,3.35,3.35,3.28
51,72,79,67.33,2.55,3.6,3.95,3.37
84,73,69,75.33,4.2,3.65,3.45,3.77
71,74,68,71.00,3.55,3.7,3.4,3.55
74,73,67,71.33,3.7,3.65,3.35,3.57
68,59,62,63.00,3.4,2.95,3.1,3.15
57,56,54,55.67,2.85,2.8,2.7,2.78
82,93,93,89.33,4.1,4.65,4.65,4.47
57,58,64,59.67,2.85,2.9,3.2,2.98
47,58,67,57.33,2.35,2.9,3.35,2.87
59,85,80,74.67,2.95,4.25,4,3.73
41,39,34,38.00,2.05,1.95,1.7,1.90
62,67,62,63.67,3.1,3.35,3.1,3.18
86,83,86,85.00,4.3,4.15,4.3,4.25
69,71,65,68.33,3.45,3.55,3.25,3.42
65,59,53,59.00,3.25,2.95,2.65,2.95
68,63,54,61.67,3.4,3.15,2.7,3.08
64,66,59,63.00,3.2,3.3,2.95,3.15
61,72,70,67.67,3.05,3.6,3.5,3.38
61,56,55,57.33,3.05,2.8,2.75,2.87
47,59,50,52.00,2.35,2.95,2.5,2.60
73,66,66,68.33,3.65,3.3,3.3,3.42
50,48,53,50.33,2.5,2.4,2.65,2.52
75,68,64,69.00,3.75,3.4,3.2,3.45
75,66,73,71.33,3.75,3.3,3.65,3.57
70,56,51,59.00,3.5,2.8,2.55,2.95
89,88,82,86.33,4.45,4.4,4.1,4.32
67,81,79,75.67,3.35,4.05,3.95,3.78
78,81,80,79.67,3.9,4.05,4,3.98
59,73,69,67.00,2.95,3.65,3.45,3.35
73,83,76,77.33,3.65,4.15,3.8,3.87
79,82,73,78.00,3.95,4.1,3.65,3.90
67,74,77,72.67,3.35,3.7,3.85,3.63
69,66,60,65.00,3.45,3.3,3,3.25
86,81,80,82.33,4.3,4.05,4,4.12
47,46,42,45.00,2.35,2.3,2.1,2.25
81,73,72,75.33,4.05,3.65,3.6,3.77
64,85,85,78.00,3.2,4.25,4.25,3.90
100,92,97,96.33,5,4.6,4.85,4.82
65,77,74,72.00,3.25,3.85,3.7,3.60
65,58,49,57.33,3.25,2.9,2.45,2.87
53,61,62,58.67,2.65,3.05,3.1,2.93
37,56,47,46.67,1.85,2.8,2.35,2.33
79,89,89,85.67,3.95,4.45,4.45,4.28
53,54,48,51.67,2.65,2.7,2.4,2.58
100,100,100,100.00,5,5,5,5.00
72,65,68,68.33,3.6,3.25,3.4,3.42
53,58,55,55.33,2.65,2.9,2.75,2.77
54,54,45,51.00,2.7,2.7,2.25,2.55
71,70,76,72.33,3.55,3.5,3.8,3.62
77,90,91,86.00,3.85,4.5,4.55,4.30
75,58,62,65.00,3.75,2.9,3.1,3.25
84,87,91,87.33,4.2,4.35,4.55,4.37
26,31,38,31.67,1.3,1.55,1.9,1.58
72,67,65,68.00,3.6,3.35,3.25,3.40
77,88,85,83.33,3.85,4.4,4.25,4.17
91,74,76,80.33,4.55,3.7,3.8,4.02
83,85,90,86.00,4.15,4.25,4.5,4.30
63,69,74,68.67,3.15,3.45,3.7,3.43
68,86,84,79.33,3.4,4.3,4.2,3.97
59,67,61,62.33,2.95,3.35,3.05,3.12
90,90,91,90.33,4.5,4.5,4.55,4.52
71,76,83,76.67,3.55,3.8,4.15,3.83
76,62,66,68.00,3.8,3.1,3.3,3.40
80,68,72,73.33,4,3.4,3.6,3.67
55,64,70,63.00,2.75,3.2,3.5,3.15
76,71,67,71.33,3.8,3.55,3.35,3.57
73,71,68,70.67,3.65,3.55,3.4,3.53
52,59,56,55.67,2.6,2.95,2.8,2.78
68,68,61,65.67,3.4,3.4,3.05,3.28
59,52,46,52.33,2.95,2.6,2.3,2.62
49,52,54,51.67,2.45,2.6,2.7,2.58
70,74,71,71.67,3.5,3.7,3.55,3.58
61,47,56,54.67,3.05,2.35,2.8,2.73
60,75,74,69.67,3,3.75,3.7,3.48
64,53,57,58.00,3.2,2.65,2.85,2.90
79,82,82,81.00,3.95,4.1,4.1,4.05
65,85,76,75.33,3.25,4.25,3.8,3.77
64,64,70,66.00,3.2,3.2,3.5,3.30
83,83,90,85.33,4.15,4.15,4.5,4.27
81,88,90,86.33,4.05,4.4,4.5,4.32
54,64,68,62.00,2.7,3.2,3.4,3.10
68,64,66,66.00,3.4,3.2,3.3,3.30
54,48,52,51.33,2.7,2.4,2.6,2.57
59,78,76,71.00,2.95,3.9,3.8,3.55
66,69,68,67.67,3.3,3.45,3.4,3.38
76,71,72,73.00,3.8,3.55,3.6,3.65
74,79,82,78.33,3.7,3.95,4.1,3.92
94,87,92,91.00,4.7,4.35,4.6,4.55
63,61,54,59.33,3.15,3.05,2.7,2.97
95,89,92,92.00,4.75,4.45,4.6,4.60
40,59,54,51.00,2,2.95,2.7,2.55
82,82,80,81.33,4.1,4.1,4,4.07
68,70,66,68.00,3.4,3.5,3.3,3.40
55,59,54,56.00,2.75,2.95,2.7,2.80
79,78,77,78.00,3.95,3.9,3.85,3.90
86,92,87,88.33,4.3,4.6,4.35,4.42
76,71,73,73.33,3.8,3.55,3.65,3.67
64,50,43,52.33,3.2,2.5,2.15,2.62
62,49,52,54.33,3.1,2.45,2.6,2.72
54,61,62,59.00,2.7,3.05,3.1,2.95
77,97,94,89.33,3.85,4.85,4.7,4.47
76,87,85,82.67,3.8,4.35,4.25,4.13
74,89,84,82.33,3.7,4.45,4.2,4.12
66,74,73,71.00,3.3,3.7,3.65,3.55
66,78,78,74.00,3.3,3.9,3.9,3.70
67,78,79,74.67,3.35,3.9,3.95,3.73
71,49,52,57.33,3.55,2.45,2.6,2.87
91,86,84,87.00,4.55,4.3,4.2,4.35
69,58,57,61.33,3.45,2.9,2.85,3.07
54,59,50,54.33,2.7,2.95,2.5,2.72
53,52,49,51.33,2.65,2.6,2.45,2.57
68,60,59,62.33,3.4,3,2.95,3.12
56,61,60,59.00,2.8,3.05,3,2.95
36,53,43,44.00,1.8,2.65,2.15,2.20
29,41,47,39.00,1.45,2.05,2.35,1.95
62,74,70,68.67,3.1,3.7,3.5,3.43
68,67,73,69.33,3.4,3.35,3.65,3.47
47,54,53,51.33,2.35,2.7,2.65,2.57
62,61,58,60.33,3.1,3.05,2.9,3.02
79,88,94,87.00,3.95,4.4,4.7,4.35
73,69,68,70.00,3.65,3.45,3.4,3.50
66,83,83,77.33,3.3,4.15,4.15,3.87
51,60,58,56.33,2.55,3,2.9,2.82
51,66,62,59.67,2.55,3.3,3.1,2.98
85,66,71,74.00,4.25,3.3,3.55,3.70
97,92,86,91.67,4.85,4.6,4.3,4.58
75,69,68,70.67,3.75,3.45,3.4,3.53
